accuracy,error_type,f1,iou,precision,recall,reward
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,30.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,30.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,30.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,31.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,29.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,30.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,29.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,30.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,30.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,29.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,30.0
0.25,No Error,0.4,0.25,1.0,0.25,18.25
0.0,No Error,-1.0,0.0,0.0,0.0,15.0
0.0,No Error,-1.0,0.0,0.0,0.0,15.0
0.0,No Error,-1.0,0.0,0.0,0.0,16.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,16.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,16.0
0.0,No Error,-1.0,0.0,0.0,0.0,15.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,16.0
0.0,No Error,-1.0,0.0,0.0,0.0,15.0
0.0,No Error,-1.0,0.0,0.0,0.0,15.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,12.0
0.25,No Error,0.4,0.25,0.25,1.0,17.25
0.0,No Error,-1.0,0.0,0.0,0.0,17.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,18.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,18.0
1.0,No Error,1.0,1.0,1.0,1.0,22.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,18.0
1.0,No Error,1.0,1.0,1.0,1.0,24.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,21.0
0.0,No Error,-1.0,0.0,0.0,0.0,18.0
0.0,No Error,-1.0,0.0,0.0,0.0,15.0
